Numer rachunku/karty,Data transakcji,Data rozliczenia,Rodzaj transakcji,Na konto/Z konta,Odbiorca/Zleceniodawca,Opis,Obciążenia,Uznania,Saldo,Waluta
PL94 1020 2892 0000 7302 0567 1234,2025-02-25,2025-02-25,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2437.6,3974.53,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-03-06,2025-03-06,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Jan Kowalski,Przelew na telefon,,85.17,4059.70,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-03-16,2025-03-16,PRZELEW NA TELEFON,82 12 3089 4456 0000 0654 7788,Tomasz Wójcik,Przelew na telefon,-264.01,,3795.69,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-03-20,2025-03-20,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1420.39,5216.08,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-03-28,2025-03-28,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,MediaExpert,Zakup w MediaExpert,-994.52,,4221.56,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-03-31,2025-03-31,PRZELEW NA TELEFON,99 30 4567 8920 0000 0987 3456,Katarzyna Lewandowska,Przelew na telefon,,173.6,4395.16,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-04-07,2025-04-07,PŁATNOŚĆ BLIK,,Amazon,Zakup w Amazon,-106.06,,4289.10,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-04-10,2025-04-10,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2538.68,6827.78,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-04-19,2025-04-19,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,2373.75,9201.53,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-04-28,2025-04-28,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1854.2,11055.73,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-05-08,2025-05-08,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Sklep Internetowy ABC,Zakup w Sklep Internetowy ABC,-45.99,,11009.74,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-05-17,2025-05-17,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Allegro,Zakup w Allegro,-35.99,,10973.75,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-05-22,2025-05-22,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,H&M,Zakup w H&M,-181.87,,10791.88,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-05-27,2025-05-27,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,ElectroShop,Zakup w ElectroShop,-129.7,,10662.18,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-06-01,2025-06-01,PŁATNOŚĆ BLIK,,Piekarnia Róg,Zakup w Piekarnia Róg,-5.12,,10657.06,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-06-10,2025-06-10,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,MediaExpert,Zakup w MediaExpert,-429.04,,10228.02,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-06-18,2025-06-18,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1021.42,11249.44,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-06-28,2025-06-28,PŁATNOŚĆ BLIK W INTERNECIE,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-248.86,,11000.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-07-06,2025-07-06,PŁATNOŚĆ BLIK,,H&M,Zakup w H&M,-179.99,,10820.59,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-07-12,2025-07-12,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,ElectroShop,Zakup w ElectroShop,-132.07,,10688.52,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-07-21,2025-07-21,PŁATNOŚĆ BLIK W INTERNECIE,,Amazon,Zakup w Amazon,-152.71,,10535.81,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-07-30,2025-07-30,ZAKUP - FIZ. UŻYCIE KARTY,,Restauracja Italia,Zakup w Restauracja Italia,-159.19,,10376.62,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-08-05,2025-08-05,PŁATNOŚĆ BLIK,,Kawiarnia Espresso,Zakup w Kawiarnia Espresso,-21.24,,10355.38,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-08-08,2025-08-08,ZAKUP - BEZ FIZ. UŻYCIA KARTY,,Biedronka,Zakup w Biedronka,-119.36,,10236.02,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-08-16,2025-08-16,PRZELEW PRZYCHODZĄCY,,Firma XYZ,Wynagrodzenie,,3331.99,13568.01,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-08-23,2025-08-23,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1422.57,14990.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-08-28,2025-08-28,PRZELEW NA TELEFON,66 20 9012 5678 0000 0123 9876,Maria Wiśniewska,Przelew na telefon,,136.23,15126.81,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-01,2025-09-01,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1380.77,16507.58,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-04,2025-09-04,PRZELEW PRZYCHODZĄCY,,Freelance Projekt,Wpłata za usługę,,1117.87,17625.45,PLN
PL94 1020 2892 0000 7302 0567 1234,2025-09-07,2025-09-07,PŁATNOŚĆ BLIK,,Stacja Paliw BP,Zakup w Stacja Paliw BP,-167.76,,17457.69,PLN
